"DATE","YR","MON","DAY","TEMP","WS","RH","PREC","DEW","LAT","LONG","FFMC","DMC","DC","ISI","BUI","FWI","DSR"
2000-08-23,2000,8,23,25.3746656987522,12.3342585795106,25.993349373708,0.0105470257146176,4.74088323776886,40,-121,94.8242070275376,259.7160612947,948.998719369103,15.7337198190759,308.417600588575,53.1454165600874,30.8065735947787
2000-08-24,2000,8,24,27.5357406771982,11.6608111652793,12.7142965674924,0.287062525972033,-3.35186676658248,40,-121,96.2435612912872,264.876160006267,956.959152690999,18.4497872584598,313.097286441413,58.6454224342175,36.6727345209554
2000-08-25,2000,8,25,29.0054321384062,13.1393375429673,14.0509893021859,0,-0.807271782143573,40,-121,96.2949800818395,270.21801654386,965.184130475912,20.015189838202,317.919795434649,61.6493919851202,40.0629454804459
2000-08-26,2000,8,26,27.5765282928186,12.5133560814067,18.7409762308873,0,1.99868561941719,40,-121,96.244636264789,275.02867634489,973.151905568619,19.2624503378157,322.322969392685,60.2353070392952,38.4508018830828
2000-08-27,2000,8,27,28.7446588582101,11.8864228082843,19.3393258260003,0,3.41931682216051,40,-121,96.2729211139956,279.998430885878,981.329944163097,18.7347893868844,326.85016594441,59.2304136443711,37.3227073228076
2000-08-28,2000,8,28,29.0789835764102,12.0680824199089,19.6472867494193,0,3.92359874390576,40,-121,96.2731907359288,285.004670441639,989.568161206851,18.9077593406073,331.396379278975,59.572926528553,37.705570801785
2000-08-29,2000,8,29,20.8545955086857,10.4777323401283,41.1059546952952,0,7.3213101664906,40,-121,92.061244475494,287.674006780705,996.325988398414,9.74884078304733,334.147770837311,39.2658738535126,18.0291780074694
2000-08-30,2000,8,30,18.732302197551,11.5967318883873,41.9415375533144,0,5.67778319269377,40,-121,90.6617760436238,290.051094094839,1002.70180279397,8.45419614481787,336.647508969753,35.7793353898366,15.2931877573838
2000-08-31,2000,8,31,17.6190008859444,15.0650774858025,58.7175639771502,0.446643610697706,9.53972906988417,40,-121,87.8379699485753,291.646438501366,1008.87722295344,6.71694988673629,338.592151889049,30.7021548522651,11.6642758654255
2000-09-01,2000,9,1,8.41704734220258,14.3728348276567,91.4817355440875,5.86056947991677,7.12001895007813,40,-121,38.6243135661472,91.8730431723208,932.449870973449,0.0547241924217144,147.430708300558,0.190950791240504,0.00145144268947054
2000-09-02,2000,9,2,12.1641587837902,14.239225455181,66.7183821520976,8.33242545435719,6.2094660130083,40,-121,41.6371003228074,51.0360818435138,835.761912584367,0.0962636529909113,88.5533183787986,0.245742061659835,0.00226838942807827
2000-09-03,2000,9,3,15.2613429731967,15.4869342614554,40.8472825902928,0.646028253337715,2.13832481404887,40,-121,72.7180847896877,52.7591461152164,840.212954319543,1.50190143490466,91.2013674382039,6.95140827226385,0.84146828808246
2000-09-04,2000,9,4,15.1510158161906,14.555864239798,35.1929205807626,0.0499837305606176,-0.0295078150630843,40,-121,84.987787890653,54.6341872136353,844.644137166457,4.38059597542687,94.0584052382321,17.0547810465528,4.12037350936061
2000-09-05,2000,9,5,16.9831152719277,7.62312794419946,34.6218970947062,0.577243303024923,1.38638092446627,40,-121,87.9637439066269,56.7389996125045,849.405097915404,4.70040603005066,97.2393831197691,18.2893124810228,4.66292324579321
2000-09-06,2000,9,6,21.7238397760062,13.3360765505613,23.2147463027474,0.0099967461121152,0.00843189064818262,40,-121,92.1513148747364,59.8591416278944,855.019389075085,11.4033179006091,101.885927016063,34.6750352595102,14.4676780940709
2000-09-07,2000,9,7,25.8962122591445,10.8414947349346,15.6419794778268,0,-1.88644563348566,40,-121,95.0286989129465,63.913639182269,861.384707281731,15.0085847633998,107.825916921796,42.5097794325334,20.7488567021421
2000-09-08,2000,9,8,23.1721344552494,15.8980196985471,23.321684717335,0,1.31471703590063,40,-121,94.6571126536128,67.2271497484155,867.259691483676,18.4013611446075,112.627923901563,49.2521381896248,26.925347196742
2000-09-09,2000,9,9,24.976819284094,11.3153835967327,17.9958690434123,0,-0.736134833935012,40,-121,94.7080076775995,71.0342838631381,873.459518954813,14.709647247162,118.064512778949,43.54200196367,21.6489461286106
2000-09-10,2000,9,10,25.3512629684782,11.6087568916569,21.0965015221393,0,1.77684372907783,40,-121,94.7589195045958,74.7500682116456,879.726746289139,15.0335252306435,123.306799389387,44.8797989513443,22.8401526357958
2000-09-11,2000,9,11,28.8763827971809,9.96949251377697,19.1549478834235,0,3.39455062537678,40,-121,94.9957473729838,79.0646678193663,886.628495192632,14.2987051275924,129.303003441577,44.210497456813,22.2407211431321
2000-09-12,2000,9,12,26.49331620585,12.0230085537941,17.3085465718162,0,-0.0079032604219833,40,-121,95.0714821827694,83.1269711737762,893.101292109685,16.0228522991446,134.870638518143,48.1862715258687,25.9025897192784
2000-09-13,2000,9,13,29.0796522258466,8.10702408750255,20.6261483364146,0.0836424995803429,4.61494449242178,40,-121,95.1225140109992,87.3917794703409,900.039629510337,13.2456870412135,140.643224332454,43.2644055624628,21.4052505513519
2000-09-14,2000,9,14,24.6190918356198,13.8703145440141,44.4684732586495,0,11.9199186629077,40,-121,91.4588891750813,89.9345260058366,906.175066040748,10.6201976508098,144.112475626264,37.7862292147178,16.8441575880952
2000-09-15,2000,9,15,23.0918965228814,12.7956364798742,26.1349522927213,0.0199017789571571,2.83810160827852,40,-121,92.3422617068176,93.1159146542594,912.035607414867,11.3999860319677,148.363287926754,39.8962917990475,18.5446860337553
2000-09-16,2000,9,16,23.9918986642763,10.8935782453151,25.0521467285043,0,3.02200379290662,40,-121,92.8018426746624,96.4640310765978,918.058149174437,11.0497982819287,152.791920933674,39.4085896405361,18.1453263633742
2000-09-17,2000,9,17,27.839307521324,10.1819342923722,18.2258064743187,0,1.82901082443078,40,-121,94.8415485346639,100.677232602541,924.773224528275,14.1502283350851,158.276711458483,46.5768233208358,24.3909976929359
2000-09-18,2000,9,18,30.1421361802868,10.9303585942248,17.3074668814175,0,3.0198960314782,40,-121,95.5900303999575,105.276777317233,931.902809040727,16.276288772753,164.184010208559,51.2795606815719,28.9181367908731
2000-09-19,2000,9,19,32.2831516756408,6.17855703448327,17.7428174467074,0,5.14873507416473,40,-121,95.8691989830607,110.165653001499,939.417776342342,13.305437972851,170.380069898349,45.5155965498322,23.4159901849188
2000-09-20,2000,9,20,30.4577387142678,12.333423987789,21.6666294820623,0,6.48716358120032,40,-121,95.9204941777677,114.566745720309,946.60416931091,18.2701318708145,175.908368481865,55.8364108044018,33.6211735223296
2000-09-21,2000,9,21,21.0832736159347,16.3281164149035,38.2907205958898,0.229099741175122,6.50139097084201,40,-121,92.249132336424,117.003905146089,952.103158561779,13.4432897174191,179.011137898085,46.23459676761,24.0746856738353
2000-09-22,2000,9,22,9.5136324178992,2.69127398098331,86.163497828561,6.20605335702114,7.33395673506101,40,-121,38.4365033959606,65.8205727508085,880.456239283789,0.0292468308479691,110.912360839051,0.0873706176944149,0.000363735485992287
2000-09-23,2000,9,23,19.8843851764688,5.22983183778531,18.5939144509598,0.226164916628443,-4.55961406505713,40,-121,77.2441788567205,68.8618845688722,885.739428615554,1.15417965691852,115.311511772336,6.3150011589537,0.7099534651958
2000-09-24,2000,9,24,23.3653741423691,6.85347681093917,22.1473596348015,0,0.763010482016227,40,-121,90.4923250312432,72.2529255333235,891.64919596118,6.49766404021,120.162965357816,25.4636362618075,8.37621952469624
2000-09-25,2000,9,25,22.8632184156324,11.6628567507568,22.2221262198452,0,0.38097872311829,40,-121,92.9133440980769,75.5711750598566,897.468575275994,11.6676070977369,124.858196811139,38.3020938590203,17.2533231919836
2000-09-26,2000,9,26,24.2372930074352,9.66222243758733,19.2955356362006,0,-0.399419945747695,40,-121,94.0592374378613,79.2117133354712,903.535288017332,12.3751133596413,129.94350051547,40.3650741986382,18.9321131154902
2000-09-27,2000,9,27,22.6251792162739,12.9051024878804,26.4706701999994,0,2.61204419508232,40,-121,93.8461078027416,82.3175451725614,909.311820276262,14.1476101258201,134.251520674199,44.4680952099941,22.4706066046071
2000-09-28,2000,9,28,20.8659625491046,8.85949776614996,35.9206103104754,0.221120686938838,5.38691211557421,40,-121,92.2610198884006,84.8235184400115,914.7716935351,9.2425097397031,137.721075758432,34.00580438581,13.9771236284311
2000-09-29,2000,9,29,26.1509676944131,7.61058954332234,19.428936359482,0,1.3052321094728,40,-121,94.222994392905,88.732547095437,921.182867720095,11.4153922340149,143.023419407688,39.5134737265819,18.2308924049265
2000-09-30,2000,9,30,28.8329205838149,5.08170108839718,18.0736253749965,0,2.54038030651662,40,-121,95.1440439682191,93.0985162062353,928.076793425181,11.4063537676925,148.864324958124,39.9478222218339,18.5871030203388
2000-10-01,2000,10,1,26.2265250807263,12.7743571789399,24.4762571229238,0,4.6196869556357,40,-121,94.8752247822212,96.225588169216,933.501567939712,16.1995554701915,153.018267714677,50.2989699216534,27.9465688879175
2000-10-02,2000,10,2,22.842490283104,11.9390014055034,29.5271945020543,0,4.34567796994338,40,-121,93.6454414087437,98.7821767363075,938.317216190671,13.1047883906815,156.401173107983,44.234489996851,22.2620891337337
2000-10-03,2000,10,3,23.7311253840801,6.07593643317952,27.081829114991,0,3.89619784533653,40,-121,93.6960024291194,101.525658834052,943.292818759805,9.82146189717442,159.99977885088,36.918875215756,16.1658550466221
2000-10-04,2000,10,4,24.933357070728,6.28706059338066,21.557718327811,0,1.72362275301066,40,-121,93.8037020890426,104.619872888483,948.484823032536,10.076184508709,164.012449548305,37.7570115633008,16.8211110872119
