"DATE","TIME","TEMP","RH","WS","PREC","YR","MON","DAY","LAT","LONG","FFMC","DMC","DC","ISI","BUI","FWI","DSR"
1999-10-06,13:00:00,12.7777777777778,47,4.828032,0,1999,10,6,40.25,105.75,90.9423538558658,20.2724352387389,25.428,6.25648281123935,19.9396766244507,9.60841081721345,1.49232072842827
1999-10-07,13:00:00,3.33333333333333,100,1.609344,5080,1999,10,7,40.25,105.75,7.74350840112981,6.43767650726537,1.304,3.99433651093992e-07,5.64556094726806,1.81312900497054e-07,3.17678418988489e-14
1999-10-08,13:00:00,9.44444444444444,52,6.437376,0,1999,10,8,40.25,105.75,38.0946469314665,7.20456973393204,3.708,0.0329452693035266,6.58929666702491,0.0160690507652243,1.8162331506803e-05
1999-10-09,13:00:00,16.6666666666667,26,4.828032,0,1999,10,9,40.25,105.75,72.0829591255839,9.1966536805987,7.412,0.856568913011734,8.71414108425121,0.48032790859671,0.0074283241653079
1999-10-10,13:00:00,18.3333333333333,20,4.828032,0,1999,10,10,40.25,105.75,87.5293949233286,11.552284613932,11.416,3.836821453272,11.1397448458086,4.38795368448984,0.372711425058993
1999-10-11,13:00:00,18.8888888888889,15,6.437376,0,1999,10,11,40.25,105.75,92.9919539812933,14.1266935917098,15.52,9.06590317931476,13.750961937427,10.8405779594401,1.84761601280494
1999-10-12,13:00:00,18.8888888888889,15,6.437376,0,1999,10,12,40.25,105.75,94.1978547919631,16.7011025694876,19.624,10.7227633206741,16.3479100389367,13.4688642412781,2.71321825650002
1999-10-13,13:00:00,17.7777777777778,16,4.828032,0,1999,10,13,40.25,105.75,94.2485981918081,19.1038057161543,23.528,9.9571236011376,18.7656174146965,13.5826480736581,2.75392036401976
1999-10-14,13:00:00,17.2222222222222,13,8.04672,0,1999,10,14,40.25,105.75,94.7272555750079,21.5190850228209,27.332,12.5089082570627,21.1890418459901,17.137822488931,4.15595070021062
1999-10-15,13:00:00,13.8888888888889,16,6.437376,0,1999,10,15,40.25,105.75,94.7395602613209,23.4268228361543,30.536,11.5540620309764,23.1040562524209,16.834661917898,4.02671312636433
1999-10-16,13:00:00,-2.22222222222222,46,8.04672,0,1999,10,16,40.25,105.75,90.7763565461647,23.4268228361543,30.84,7.18599009283712,23.1086422547489,11.6431891807855,2.09660328849023
1999-10-17,13:00:00,2.77777777777778,28,4.828032,0,1999,10,17,40.25,105.75,90.5512744748759,23.8498666761543,32.044,5.91685218796115,23.540189443379,10.0232440764779,1.60825016887067
1999-10-18,13:00:00,2.77777777777778,61,4.828032,0,1999,10,18,40.25,105.75,87.2765378842348,24.0790154228209,33.248,3.70075918904884,23.7816619036,6.67241123256445,0.782617344395267
